id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
40,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
41,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
42,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
43,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
44,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
45,42 Draconis b,296,3.88 Jupiters,4.8262,2008
46,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
47,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
48,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
49,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
50,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
51,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
52,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
53,14 Herculis b,58,8.053 Jupiters,6.61935,2002
54,16 Cygni B b,69,1.78 Jupiters,6.215,1996
55,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
56,18 Delphini b,249,9.207 Jupiters,5.51048,2008
57,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
58,24 Bootis b,313,0.883 Jupiters,5.59,2018
59,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
60,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
61,2M0437 b,419,4 Jupiters,16.186,2021
62,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
63,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
64,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
65,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
66,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
67,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
68,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
69,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
70,42 Draconis b,296,3.88 Jupiters,4.8262,2008
71,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
72,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
73,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
74,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
75,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
76,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
77,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
78,14 Herculis b,58,8.053 Jupiters,6.61935,2002
79,16 Cygni B b,69,1.78 Jupiters,6.215,1996
80,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
81,18 Delphini b,249,9.207 Jupiters,5.51048,2008
82,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
83,24 Bootis b,313,0.883 Jupiters,5.59,2018
84,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
85,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
86,2M0437 b,419,4 Jupiters,16.186,2021
87,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
88,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
89,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
90,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
91,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
92,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
93,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
94,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
95,42 Draconis b,296,3.88 Jupiters,4.8262,2008
96,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
97,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
98,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
99,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
100,AU Microscopii c,32,9.6 Earths,8.81,2021
101,AU Microscopii d,32,1.053 Earths,8.81,2023
102,b Centauri AB b,320,10.9 Jupiters,4.01,2021
103,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
104,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
105,BD-06 1339 b,66,8.5 Earths,9.7,2013
106,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
107,BD-08 2823 b,135,12.7132 Earths,9.86,2009
108,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
109,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
110,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
111,BD-11 4672 c,89,15.37 Earths,10.03,2020
112,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
113,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
114,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
115,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
116,BD-17 63 b,112,5.1 Jupiters,9.62,2008
117,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
118,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
119,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
120,BD+20 594 b,585,22.2481 Earths,10.849,2016
121,BD-210397 b,77,0.7 Jupiters,9.84,2023
122,BD-210397 c,77,4.8 Jupiters,9.84,2023
123,BD+45 564 b,175,1.36 Jupiters,9.67,2021
124,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
125,AU Microscopii c,32,9.6 Earths,8.81,2021
126,AU Microscopii d,32,1.053 Earths,8.81,2023
127,b Centauri AB b,320,10.9 Jupiters,4.01,2021
128,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
129,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
130,BD-06 1339 b,66,8.5 Earths,9.7,2013
131,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
132,BD-08 2823 b,135,12.7132 Earths,9.86,2009
133,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
134,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
135,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
136,BD-11 4672 c,89,15.37 Earths,10.03,2020
137,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
138,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
139,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
140,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
141,BD-17 63 b,112,5.1 Jupiters,9.62,2008
142,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
143,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
144,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
145,BD+20 594 b,585,22.2481 Earths,10.849,2016
146,BD-210397 b,77,0.7 Jupiters,9.84,2023
147,BD-210397 c,77,4.8 Jupiters,9.84,2023
148,BD+45 564 b,175,1.36 Jupiters,9.67,2021
149,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
150,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
151,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
152,BD+55 362 b,171,0.72 Jupiters,9.38,2021
153,BD+60 1417 b,147,15 Jupiters,9.374,2021
154,BD+63 1405 b,124,10.4 Jupiters,8.96,2021
155,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
156,Beta Pictoris b,64,11.729 Jupiters,3.85,2008
157,Beta Pictoris c,64,10.139 Jupiters,3.85,2019
158,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
159,CD Ceti b,28,3.95 Earths,13.95,2020
160,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
161,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
162,CHXR 73 b,621,12.569 Jupiters,,2006
163,CI Tauri c,515,3.6 Jupiters,13.642,2024
164,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
165,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
166,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
167,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
168,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
169,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
170,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
171,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
172,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
173,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
174,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
175,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
176,CoRoT-20 c,2753,17 Jupiters,14.63,2018
177,CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
178,CoRoT-22 b,2046,12.2 Earths,13.82,2014
179,CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
180,CoRoT-24 b,1930,5.7 Earths,15.383,2014
181,CoRoT-24 c,1930,28 Earths,15.383,2014
182,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
183,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
184,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
185,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
186,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
187,CoRoT-2 b,696,3.47 Jupiters,12.516,2008
188,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
189,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
190,CoRoT-35 b,3664,1.1 Jupiters,15.635,2022
191,CoRoT-36 b,3020,0.68 Jupiters,13.126,2022
192,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
193,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
194,CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
195,CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
196,CoRoT-7 b,522,4.07661 Earths,11.728,2009
197,CoRoT-7 c,522,8.4 Earths,11.728,2009
198,CoRoT-7 d,522,17.142 Earths,11.728,2022
199,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
200,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
201,CoRoT-20 c,2753,17 Jupiters,14.63,2018
202,CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
203,CoRoT-22 b,2046,12.2 Earths,13.82,2014
204,CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
205,CoRoT-24 b,1930,5.7 Earths,15.383,2014
206,CoRoT-24 c,1930,28 Earths,15.383,2014
207,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
208,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
209,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
210,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
211,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
212,CoRoT-2 b,696,3.47 Jupiters,12.516,2008
213,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
214,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
215,CoRoT-35 b,3664,1.1 Jupiters,15.635,2022
216,CoRoT-36 b,3020,0.68 Jupiters,13.126,2022
217,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
218,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
219,CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
220,CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
221,CoRoT-7 b,522,4.07661 Earths,11.728,2009
222,CoRoT-7 c,522,8.4 Earths,11.728,2009
223,CoRoT-7 d,522,17.142 Earths,11.728,2022
224,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
225,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
226,CoRoT-20 c,2753,17 Jupiters,14.63,2018
227,CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
228,CoRoT-22 b,2046,12.2 Earths,13.82,2014
229,CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
230,CoRoT-24 b,1930,5.7 Earths,15.383,2014
231,CoRoT-24 c,1930,28 Earths,15.383,2014
232,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
233,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
234,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
235,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
236,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
237,CoRoT-2 b,696,3.47 Jupiters,12.516,2008
238,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
239,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
240,CoRoT-35 b,3664,1.1 Jupiters,15.635,2022
241,CoRoT-36 b,3020,0.68 Jupiters,13.126,2022
242,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
243,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
244,CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
245,CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
246,CoRoT-7 b,522,4.07661 Earths,11.728,2009
247,CoRoT-7 c,522,8.4 Earths,11.728,2009
248,CoRoT-7 d,522,17.142 Earths,11.728,2022
249,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
